Suburb,Address,Type,Price,Method,SellerG,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,Latitude,Longitude,Regionname
Maribyrnong,18/4 Wests Rd,u,353000,S,Biggin,4.3,3032,2,1,1,,-37.77367,144.88161,Western Metropolitan
Braybrook,40 Errol St,t,505000,PI,Nelson,10.8,3019,3,2,2,4606,-37.7761,144.8557,Western Metropolitan
Frankston South,160 Overport Rd,h,860000,S,O'Brien,38,3199,3,2,3,4604,-38.18255,145.11986,South-Eastern Metropolitan
Malvern,11/5 Warner St,u,456000,S,Jellis,7.4,3144,1,1,1,,-37.8515,145.0372,Southern Metropolitan
Reservoir,57 Barry St,h,800000,S,Barry,11.2,3073,3,1,5,4497,-37.7093,145.0012,Northern Metropolitan
Brunswick,30 Lobb St,h,740000,PI,Nelson,5.2,3056,3,2,1,4497,-37.7687,144.9649,Northern Metropolitan
Brunswick,32 Lobb St,t,820000,SP,Jellis,5.2,3056,3,2,2,4440,-37.7687,144.9649,Northern Metropolitan
Toorak,4/5 Selwyn Ct,u,922500,S,Rodney,4.6,3142,3,1,2,,-37.8421,145.0237,Southern Metropolitan
Hoppers Crossing,533 Sayers Rd,h,1305000,S,Ray,18.4,3029,4,2,0,4422,-37.84931,144.6942,Western Metropolitan
Port Melbourne,711/101 Bay St,u,820000,SP,Chisholm,3.5,3207,2,2,2,,-37.84079,144.94002,Southern Metropolitan
North Melbourne,8/302 Abbotsford St,u,550000,S,Nelson,1.8,3051,2,1,0,,-37.79939,144.94635,Northern Metropolitan
Heidelberg,22/127 Hawdon St,u,690000,VB,Miles,10.6,3084,3,2,2,,-37.7529,145.065,Eastern Metropolitan
Heidelberg,17/127 Hawdon St,u,579000,S,Nelson,10.6,3084,2,1,2,,-37.7529,145.065,Eastern Metropolitan
Kensington,28/18 Mawbey St,u,551000,S,Woodards,4.2,3031,3,1,1,,-37.7898,144.9233,Northern Metropolitan
Richmond,201/77 Abinger St,u,400000,VB,Marshall,2.4,3121,1,1,1,,-37.82009,145.0038,Northern Metropolitan
Richmond,1/77 Abinger St,u,660000,SA,Nelson,2.4,3121,2,1,1,,-37.82009,145.0038,Northern Metropolitan
Fitzroy,604/353 Napier St,u,830000,S,Jellis,2.1,3065,2,2,1,,-37.79721,144.98073,Northern Metropolitan
Croydon North,2/36 Mulawa St,h,1350000,PI,McGrath,23,3136,6,4,4,4267,-37.777,145.28113,Eastern Metropolitan
Fitzroy North,233/4 Bik La,u,700000,SP,Woodards,3.5,3068,2,2,1,,-37.7846,144.9785,Northern Metropolitan
Fitzroy North,605/4 Bik La,u,720000,S,Woodards,3.5,3068,2,2,1,,-37.7846,144.9785,Northern Metropolitan
Fitzroy North,129/4 Bik La,u,700000,SP,Collins,3.5,3068,2,2,2,,-37.7846,144.9785,Northern Metropolitan
Fitzroy North,123/4 Bik La,u,490000,VB,Nelson,3.5,3068,2,1,1,,-37.7846,144.9785,Northern Metropolitan
Abbotsford,138/56 Nicholson St,u,1090000,S,Jellis,2.5,3067,3,2,2,,-37.8078,144.9965,Northern Metropolitan
Kensington,112/86 Altona St,u,438000,S,Pagan,3.4,3031,2,1,1,,-37.79662,144.9254,Northern Metropolitan
Kensington,107/88 Altona St,u,360000,VB,Dingle,4.2,3031,1,1,1,,-37.7966,144.9254,Northern Metropolitan
Melbourne,14/2 Exhibition St,u,1160500,S,Kay,2.8,3000,2,2,1,,-37.8157,144.9727,Northern Metropolitan
North Warrandyte,46 Osborne Rd,h,1550000,VB,Jellis,21.1,3113,5,3,4,4001,-37.73371,145.24045,Eastern Metropolitan
Warrandyte,3 Speers Ct,h,1600000,S,Barry,21.1,3113,4,2,2,4000,-37.74611,145.17835,Eastern Metropolitan
Footscray,1 Swallow La,u,605000,S,Rendina,5.1,3011,3,1,2,,-37.8021,144.9075,Western Metropolitan
Donvale,6 Yileen Ct,h,2620000,S,Barry,16.1,3111,5,4,3,3967,-37.78182,145.1903,Eastern Metropolitan
Carlton,10/3 Lytton St,u,500000,VB,Peter,1.8,3053,2,1,1,,-37.7941,144.9678,Northern Metropolitan
Melbourne,1206/483 Swanston St,u,520000,VB,Greg,2.8,3000,1,1,1,,-37.8072,144.9623,Northern Metropolitan
Carlton North,782 Lygon St,h,1065000,S,Nelson,3.5,3054,2,1,,3901,-37.78791,144.96938,Northern Metropolitan
Templestowe,5 Timothy Ct,h,2300000,PI,Ray,15.5,3106,5,3,3,3886,-37.74508,145.15341,Eastern Metropolitan
Bullengarook,31 Carrolls La,h,535000,S,Keatings,45.9,3437,3,1,0,3878,-37.50087,144.48571,Northern Victoria
Keilor East,9a The Crossway,h,650000,SP,Nelson,12.8,3033,3,2,2,3878,-37.747,144.8663,Western Metropolitan
Maribyrnong,104/5 Ordnance Res,u,400000,SP,Biggin,8.7,3032,2,1,2,,-37.7706,144.8805,Western Metropolitan
Kensington,407/72 Altona St,u,515000,SP,Pagan,4.2,3031,2,1,1,,-37.7974,144.9261,Northern Metropolitan
Kensington,509/72 Altona St,u,501000,SP,Jellis,3.4,3031,2,1,1,,-37.79741,144.92614,Northern Metropolitan
Southbank,101/8 Wells St,u,732000,S,Harcourts,0.7,3006,2,1,0,,-37.82618,144.96891,Southern Metropolitan
Brunswick East,41 Gear St,t,690000,S,Jellis,4.5,3057,2,1,1,3701,-37.7762,144.9771,Northern Metropolitan
Southbank,1509/152 Sturt St,u,569000,S,MICM,1.2,3006,2,2,1,,-37.8255,144.9665,Southern Metropolitan
Southbank,406/152 Sturt St,u,480000,VB,Greg,1.2,3006,1,1,1,,-37.8255,144.9665,Southern Metropolitan
Southbank,406/152 Sturt St,u,422500,PI,Dingle,0.7,3006,1,1,1,,-37.82548,144.96648,Southern Metropolitan
Maidstone,14/4 Crefden St,u,280000,VB,McGrath,6.4,3012,1,1,1,,-37.77757,144.87232,Western Metropolitan
Coburg,25 Beaumonde St,t,680000,S,Collins,7.8,3058,4,2,1,3512,-37.7551,144.9787,Northern Metropolitan
Collingwood,226/3 Hoddle St,u,561000,S,Raine,2,3066,2,2,2,,-37.80896,144.9911,Northern Metropolitan
Collingwood,110/3 Hoddle St,u,415000,SP,Biggin,1.6,3066,1,1,1,,-37.809,144.9911,Northern Metropolitan
Southbank,28/161 Sturt St,u,600000,VB,hockingstuart,0.7,3006,2,1,1,,-37.8281,144.96627,Southern Metropolitan
Richmond,229/253 Bridge Rd,u,439000,SP,Biggin,2.6,3121,1,1,1,,-37.8183,144.9979,Northern Metropolitan
Richmond,304/253 Bridge Rd,u,630000,S,Biggin,2.6,3121,2,2,1,,-37.8183,144.9979,Northern Metropolitan
Richmond,221/253 Bridge Rd,u,419000,S,Jellis,2.4,3121,2,1,1,,-37.81828,144.99789,Northern Metropolitan
Richmond,213/253 Bridge Rd,u,370000,SP,Biggin,2.6,3121,1,1,1,,-37.8183,144.9979,Northern Metropolitan
Carlton,2/42 Grattan Pl,u,720000,VB,Nelson,1.6,3053,2,1,1,,-37.80087,144.96622,Northern Metropolitan
Carlton,46/121 Rathdowne St,u,735000,SP,Woodards,1.8,3053,3,1,2,,-37.8042,144.9691,Northern Metropolitan
Kensington,118/80 Ormond St,u,442000,S,Nelson,4.2,3031,2,2,1,,-37.7976,144.9285,Northern Metropolitan
Hampton,3/56 Beach Rd,u,738000,S,Buxton,13.7,3188,2,1,2,,-37.9395,145.0001,Southern Metropolitan
Blackburn South,12/5 Travellyn Ct,u,615000,S,Ray,13.4,3130,2,1,1,,-37.8321,145.14444,Eastern Metropolitan
Elwood,12/37 Tennyson St,u,520000,S,Biggin,7.2,3184,2,1,1,,-37.87594,144.98833,Southern Metropolitan
Ascot Vale,1/37 Ascot Vale Rd,u,870000,SP,Jellis,4.3,3032,3,2,1,,-37.78344,144.92183,Western Metropolitan
South Yarra,9/21 Park La,u,2050000,S,Kay,3.3,3141,3,2,2,,-37.8446,144.9844,Southern Metropolitan
Hawthorn,18/508 Glenferrie Rd,u,695000,S,Jellis,4.6,3122,2,1,1,,-37.8305,145.0341,Southern Metropolitan
Mentone,1/107 Warrigal Rd,u,455000,S,Buxton,20,3194,2,1,1,,-37.97946,145.07167,South-Eastern Metropolitan
Hawthorn,16/557 Glenferrie Rd,u,335000,VB,Jellis,4.6,3122,1,1,1,,-37.8276,145.0342,Southern Metropolitan
Armadale,21/62 Wattletree Rd,u,821000,S,hockingstuart,6.3,3143,2,2,1,,-37.86165,145.02148,Southern Metropolitan
St Kilda,1/19 Robe St,u,586500,S,Buxton,5,3182,2,1,1,,-37.86506,144.97777,Southern Metropolitan
Hawthorn East,12/36 Anderson Rd,u,500000,VB,Peter,7.5,3123,2,1,1,,-37.8414,145.0505,Southern Metropolitan
Glenroy,6/2 Murrell St,u,320500,S,Nelson,13,3046,2,1,1,,-37.7042,144.9214,Northern Metropolitan
Preston,5 Newman St,h,942000,S,Love,8.8,3072,2,2,0,2920,-37.7484,144.9949,Northern Metropolitan
Maribyrnong,110/44 Skyline Dr,u,570000,PI,McDonald,8.7,3032,2,2,1,,-37.7853,144.8944,Western Metropolitan
Maribyrnong,705/60 Edgewater Bvd,u,566000,S,Raine,8.7,3032,2,2,1,,-37.7853,144.8944,Western Metropolitan
Warrandyte,44 Webb St,h,1200000,S,Fletchers,21.1,3113,3,1,0,2879,-37.74135,145.22405,Eastern Metropolitan
Southbank,601/65 Coventry St,u,622500,S,hockingstuart,1.2,3006,2,2,1,,-37.8299,144.9679,Southern Metropolitan
Toorak,15/703 Orrong Rd,u,1400000,PI,Williams,4.6,3142,2,2,2,,-37.8414,145.0137,Southern Metropolitan
Elwood,6/57 Ormond Esp,u,955000,S,Chisholm,7.7,3184,2,1,1,,-37.8867,144.9836,Southern Metropolitan
St Kilda,13/220 Barkly St,u,610500,SP,Buxton,6.1,3182,2,2,1,,-37.8709,144.9807,Southern Metropolitan
Ascot Vale,24/157 Epsom Rd,u,825000,PI,McDonald,4.3,3032,3,2,2,,-37.78258,144.91694,Western Metropolitan
Collingwood,2/79 Oxford St,u,855000,S,Nelson,1.6,3066,2,1,1,,-37.8042,144.9845,Northern Metropolitan
St Kilda,32/10 Acland St,u,380000,S,Whiting,6.1,3182,1,1,1,,-37.863,144.9747,Southern Metropolitan
Camberwell,11/596 Riversdale Rd,u,682000,S,Noel,7.7,3124,3,1,2,,-37.83227,145.06325,Southern Metropolitan
Prahran,303/10 Hillingdon Pl,u,645000,S,Gary,4.5,3181,2,1,1,,-37.8513,144.9943,Southern Metropolitan
Kew,11/26 Edgevale Rd,t,955000,S,Jellis,5.4,3101,2,1,1,2740,-37.81439,145.04237,Southern Metropolitan
Footscray,9/55 Moreland St,u,605000,SP,Jas,6.4,3011,2,1,3,,-37.8044,144.9064,Western Metropolitan
Maidstone,11 Eucalyptus Dr,t,680000,VB,Biggin,9.2,3012,3,3,2,2716,-37.7794,144.872,Western Metropolitan
Maidstone,15/15 Eucalyptus Dr,u,405000,SP,Pagan,9.2,3012,2,2,1,,-37.7794,144.872,Western Metropolitan
Fitzroy,10/5 St David St,u,850000,VB,Nelson,1.6,3065,3,2,1,,-37.8005,144.9787,Northern Metropolitan
Fitzroy North,186 Queens Pde,t,930000,S,Nelson,3.5,3068,2,3,0,2685,-37.7903,144.9859,Northern Metropolitan
Collingwood,306/40 Stanley St,u,440000,VB,Collins,1.6,3066,1,1,1,,-37.802,144.9854,Northern Metropolitan
Richmond,101/18 Tanner St,u,635000,S,Biggin,2.6,3121,2,2,1,,-37.8231,144.9906,Northern Metropolitan
Boronia,271 Scoresby Rd,h,2020000,PI,Prof.,25,3155,5,3,0,2592,-37.86625,145.26317,Eastern Metropolitan
Frankston South,70 Derinya Dr,h,1350000,S,Eview,38,3199,4,2,2,2592,-38.17488,145.1234,South-Eastern Metropolitan
West Footscray,6/350 Somerville Rd,h,502000,S,Sweeney,8.2,3012,2,1,1,2592,-37.8109,144.8684,Western Metropolitan
Glen Iris,10/249 Burke Rd,u,721000,S,Hooper,9.2,3146,2,2,1,,-37.8558,145.0518,Southern Metropolitan
Camberwell,19/995 Burke Rd,u,555000,S,Jellis,7.7,3124,2,1,1,,-37.82277,145.0581,Southern Metropolitan
Hawthorn,15/9 Lisson Gr,u,635000,S,Jellis,4.6,3122,2,1,1,,-37.8261,145.0269,Southern Metropolitan
Gowanbrae,4/74 Rutherglen Cr,h,635000,SP,Stockdale,12.9,3043,4,2,2,2488,-37.70207,144.89805,Western Metropolitan
Kensington,217/71 Henry St,u,535000,SP,Pagan,4.2,3031,2,2,1,,-37.7961,144.9261,Northern Metropolitan
Kensington,310/71 Henry St,u,395000,SP,Edward,3.4,3031,1,1,1,,-37.79609,144.92608,Northern Metropolitan
Kensington,310/71 Henry St,u,380000,VB,Edward,4.2,3031,1,1,1,,-37.7961,144.9261,Northern Metropolitan
Kensington,303/62 Altona St,u,355000,SP,Edward,4.2,3031,1,1,1,,-37.7979,144.9265,Northern Metropolitan
Richmond,414/6 Lord St,u,561000,S,Biggin,2.6,3121,2,1,1,,-37.8198,145.005,Northern Metropolitan
Newport,1/94 The Strand,h,1400000,PI,Greg,8.4,3015,3,2,3,2431,-37.8462,144.8944,Western Metropolitan
Parkville,12/196 The Avenue,u,526000,SP,Nelson,2.6,3052,1,1,1,,-37.7829,144.9574,Northern Metropolitan
Armadale,10/51 Armadale St,u,710000,S,Jellis,6.3,3143,2,1,1,,-37.8573,145.0186,Southern Metropolitan
Parkville,47/202 The Avenue,u,395000,SP,Woodards,2.6,3052,1,1,1,,-37.7827,144.9575,Northern Metropolitan
Parkville,401/228 The Avenue,u,1770000,S,Woodards,1.8,3052,3,2,1,,-37.78212,144.95755,Northern Metropolitan
Parkville,301/228 The Avenue,u,1560000,PI,Nelson,1.8,3052,3,2,1,,-37.78212,144.95755,Northern Metropolitan
Parkville,603/228 The Avenue,u,900000,VB,Nelson,1.8,3052,2,2,1,,-37.78212,144.95755,Northern Metropolitan
Parkville,12/228 The Avenue,u,500000,S,Nelson,2.6,3052,1,1,1,,-37.7821,144.9576,Northern Metropolitan
Parkville,7/517 Royal Pde,t,850000,S,Nelson,1.8,3052,3,1,1,2401,-37.78033,144.95949,Northern Metropolitan
Parkville,11/2 MacArthur Rd,u,734600,SP,Woodards,2.6,3052,2,2,1,,-37.7896,144.9584,Northern Metropolitan
Richmond,9/343 Church St,u,715000,S,Biggin,2.4,3121,2,1,2,,-37.82276,144.99866,Northern Metropolitan
St Kilda,22/3 Alfred Sq,u,520000,S,hockingstuart,6.1,3182,1,1,1,,-37.8644,144.9741,Southern Metropolitan
Malvern East,7/696 Waverley Rd,u,267500,S,Ray,11.2,3145,1,1,1,,-37.8779,145.0873,Southern Metropolitan
Frankston South,3 Diosma Ct,h,1155000,S,hockingstuart,38,3199,3,2,2,2338,-38.16457,145.12421,South-Eastern Metropolitan
Frankston South,3 Diosma Ct,h,1155000,S,hockingstuart,38,3199,3,2,2,2338,-38.16457,145.12421,South-Eastern Metropolitan
Parkville,28/238 The Avenue,u,1403000,S,Nelson,2.6,3052,3,2,2,,-37.7818,144.9576,Northern Metropolitan
Mount Evelyn,17 Inverness Rd,h,620000,VB,Max,31.6,3796,3,1,4,2325,-37.79977,145.37222,Eastern Victoria
Elwood,301/35 Ormond Rd,u,1050000,VB,Chisholm,7.7,3184,2,2,2,,-37.8831,144.9841,Southern Metropolitan
Abbotsford,14/205 Gipps St,u,750000,SP,Jellis,3,3067,2,1,1,,-37.80554,144.99612,Northern Metropolitan
Albion,10/117 Anderson Rd,u,185000,S,hockingstuart,13.9,3020,1,1,1,,-37.7852,144.8272,Western Metropolitan
Hawthorn,4/3 Kooyongkoot Rd,u,500000,VB,Kay,5.3,3122,2,1,1,,-37.83032,145.03899,Southern Metropolitan
Hawthorn,8/3 Kooyongkoot Rd,u,450000,S,LITTLE,5.3,3122,2,1,1,,-37.83032,145.03899,Southern Metropolitan
St Kilda,1/62 Wellington St,u,500000,SP,Biggin,6.1,3182,1,1,1,,-37.8571,144.987,Southern Metropolitan
South Melbourne,58C Napier St,h,770000,S,hockingstuart,2.1,3205,3,2,1,2267,-37.8346,144.9673,Southern Metropolitan
Hawthorn East,8/107 Victoria Rd,u,440000,S,Jellis,7.5,3123,1,1,1,,-37.8227,145.0528,Southern Metropolitan
North Melbourne,21/70 Oshanassy St,u,560000,S,Jellis,2.3,3051,2,1,1,,-37.7997,144.9472,Northern Metropolitan
Southbank,909/118 Kavanagh St,u,430000,PI,Dingle,1.2,3006,2,2,0,,-37.8256,144.9622,Southern Metropolitan
Balaclava,16/109 Hotham St,u,600000,VB,Buxton,6.4,3183,2,1,1,,-37.87078,144.99898,Southern Metropolitan
Hawthorn East,4/3 Brookfield Ct,u,430000,S,Jellis,7.5,3123,1,1,1,,-37.8343,145.0547,Southern Metropolitan
Hawthorn East,13/84 Campbell Rd,u,365000,SP,Jellis,7.5,3123,1,1,0,,-37.8339,145.055,Southern Metropolitan
Hawthorn,8/9 Coppin Gr,u,1022000,S,Jellis,5.3,3122,2,1,1,,-37.82193,145.01749,Southern Metropolitan
Dingley Village,1/270 Spring Rd,u,595000,S,Ray,22.2,3172,2,1,1,,-37.9811,145.13807,South-Eastern Metropolitan
Mont Albert,1/12 Hotham St,u,850000,SP,hockingstuart,10.2,3127,2,1,1,,-37.81452,145.10884,Eastern Metropolitan
Richmond,312/45 York St,u,650000,S,Marshall,2.4,3121,2,2,1,,-37.813,144.99303,Northern Metropolitan
Canterbury,2/67 Wattle Valley Rd,u,645000,PI,Jellis,8.4,3126,2,1,1,,-37.83201,145.08163,Southern Metropolitan
Parkville,17/248 The Avenue,u,750000,SP,Jellis,2.6,3052,2,1,1,,-37.7813,144.9578,Northern Metropolitan
Gisborne,15 Morilla Ct,h,690000,VB,Raine,45.9,3437,3,2,2,2143,-37.50624,144.58134,Northern Victoria
Mont Albert,72 Churchill St,h,3900000,PI,Jellis,11.8,3127,4,2,6,2136,-37.8186,145.1134,Eastern Metropolitan
Port Melbourne,414/99 Dow St,u,845000,SP,RT,3.8,3207,2,2,2,,-37.8415,144.9412,Southern Metropolitan
Port Melbourne,516/99 Dow St,u,820000,VB,Cayzer,3.8,3207,2,2,2,,-37.8415,144.9412,Southern Metropolitan
Port Melbourne,120/99 Dow St,u,635000,VB,Cayzer,3.5,3207,2,2,1,,-37.84146,144.94121,Southern Metropolitan
Port Melbourne,220/99 Dow St,u,625000,PI,RT,3.8,3207,2,2,1,,-37.8415,144.9412,Southern Metropolitan
Port Melbourne,317/99 Dow St,u,520000,VB,Buxton,3.8,3207,2,1,1,,-37.8415,144.9412,Southern Metropolitan
South Yarra,4/38 MacFarlan St,u,965000,S,hockingstuart,3.3,3141,2,2,2,,-37.8393,144.9886,Southern Metropolitan
Kensington,111/18 Bent St,u,631090,S,Alexkarbon,4.2,3031,2,2,1,,-37.7956,144.935,Northern Metropolitan
Kensington,109/18 Bent St,u,730000,SP,Rendina,4.2,3031,2,2,1,,-37.7956,144.935,Northern Metropolitan
Kensington,105/18 Bent St,u,730000,SP,Nelson,3.4,3031,2,2,1,,-37.79561,144.93499,Northern Metropolitan
Kensington,101/18 Bent St,u,710000,VB,Alexkarbon,3.4,3031,2,2,1,,-37.79561,144.93499,Northern Metropolitan
South Yarra,9/18 Kensington Rd,u,693000,S,Biggin,3.3,3141,2,1,1,,-37.8383,145.0014,Southern Metropolitan
Fitzroy,320/416 Gore St,u,600000,VB,Nelson,1.6,3065,2,1,1,,-37.7967,144.9836,Northern Metropolitan
